PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ZEBhn,6k1/r2BRp1p/p5p1/1pp4n/5P2/P1Br4/1P6/5RK1 b - - 0 39,g8f8 e7e8,600,84,100,1196,mate mateIn1 middlegame oneMove operaMate pillsburysMate,https://lichess.org/0W7xHnFg/black#78,
mX46Y,2kr3r/ppqnbpp1/4p3/1P1p2Np/N2P2n1/P6P/2PB1PP1/R2Q1RK1 w - - 2 16,g5f7 c7h2,601,81,100,1508,mate mateIn1 middlegame oneMove,https://lichess.org/Kumn6txh#31,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
BYPTm,5r1k/p5p1/8/6Q1/2P5/7P/6RK/2q5 b - - 0 41,c1c4 g5g7,602,96,100,1857,endgame mate mateIn1 oneMove,https://lichess.org/YM8hgHqT/black#82,
tcuAJ,1r2r1k1/pb1nqpp1/7p/2p2B2/3p4/P1N1P3/1PQ2PPP/R3R1K1 w - - 0 19,e3d4 e7e1 a1e1 e8e1,608,81,100,1383,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/rjqiTGBW#37,Queens_Gambit_Declined Queens_Gambit_Declined_Exchange_Variation
IYtwQ,5r1k/1p4pp/5R2/3Q4/pP6/P5qP/2P3p1/3R2K1 b - - 0 32,f8f6 d5d8 f6f8 d8f8,610,81,100,1292,endgame mate mateIn2 short,https://lichess.org/iA3VWdb8/black#64,
0s80I,1K6/1P1n2pk/7p/4n2P/3r4/8/P7/1RR5 w - - 1 48,b8a7 d4a4,614,83,100,1065,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/cx1c77PS#95,
kp5x2,r2q1rk1/p4ppp/3n4/1p1p1b2/1P1Qp3/P3P1P1/1BP2PBP/R4RK1 b - - 0 18,d6c4 d4g7,615,89,100,1097,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Q0Wa8rB1/black#36,Hungarian_Opening Hungarian_Opening_Other_variations
inte6,r3r1k1/pp3ppp/3p1Nq1/2pP4/8/4Q1P1/PPP2P1P/3bR1K1 b - - 1 22,g6f6 e3e8 a8e8 e1e8,616,93,100,1736,backRankMate endgame mate mateIn2 short,https://lichess.org/Is4QMk1v/black#44,
PGQGT,8/8/1R6/8/6p1/5r2/5k2/4R2K w - - 4 55,b6b1 f3h3,619,99,100,1442,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/ePKt8gJp#109,
LyY1p,r4rk1/5pp1/2pb1q1p/1p1n4/p2P2b1/P1PQ1N2/1PB2PPP/R1B1R1K1 b - - 3 18,g4f3 d3h7,619,97,100,1283,mate mateIn1 middlegame oneMove,https://lichess.org/cgpmxXJk/black#36,Italian_Game Italian_Game_Giuoco_Piano
cVcup,6rk/1p5p/8/1NbPp3/4Pp2/5P2/3Q3P/5RqK w - - 22 44,f1g1 g8g1,620,83,100,1086,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/KHXKFxWA#87,
8Puf9,8/p7/1p4kp/2p2R2/6n1/2P5/PPK5/8 w - - 0 41,f5d5 g4e3 c2d3 e3d5,621,98,100,1075,crushing endgame fork short,https://lichess.org/700DfbCe#81,
c5ZZ6,r7/p6Q/b1p1kpp1/3p4/8/1BP3R1/P1P2qPP/R3r2K w - - 10 25,a1e1 f2e1,624,79,100,1196,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/BB8S7YcY#49,
indnJ,2kr3r/1bpn3p/5pp1/1N1Pp3/4P3/8/2Q3PP/q4RK1 b - - 1 31,a1a6 c2c7,625,81,100,1213,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/e8qN9L2u/black#62,
BqkHU,6k1/5p1p/6p1/3Q4/p1P2Pq1/8/P4b1P/4R2K w - - 0 35,e1e7 g4g1,629,79,100,1927,endgame master mate mateIn1 oneMove,https://lichess.org/Gdmowagi#69,
I2NYn,r1b2rk1/p1q1bppp/4p3/3p2B1/6n1/2PB4/PPQ1NPPP/R4RK1 w - - 5 15,g5e7 c7h2,632,81,100,1569,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/1TT98t8i#29,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
